restaurant_name	boro	building	street	zipcode	cuisine	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	grade_date	inspection_type
SUBWAY	MANHATTAN	3559	BROADWAY	10031	Sandwiches	5/5/16	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	17	B	5/5/16	Pre-permit (Operational) / Re-inspection
NY HOT JUMBO BAGELS	MANHATTAN	1070	2 AVENUE	10022	Delicatessen	2/10/15	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	11	A	2/10/15	Cycle Inspection / Initial Inspection
DIRT CANDY	MANHATTAN	86	ALLEN ST	10002	Vegetarian	4/3/15	Violations were cited in the following area(s).	10J	'''Wash hands sign not posted at hand wash facility.	Not Critical	9	A	4/3/15	Pre-permit (Operational) / Re-inspection
EMPIRE EAST	STATEN ISLAND	2740	HYLAN BOULEVARD	10306	Chinese	2/5/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	2/5/15	Cycle Inspection / Re-inspection
SKYLARK	BROOKLYN	477	5TH AVE	11215	American	1/29/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	7	A	1/29/14	Cycle Inspection / Initial Inspection
EL GRAN VALLE RESTAURANT	BRONX	1846	JEROME AVENUE	10453	Spanish	7/15/14	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	9	A	7/15/14	Cycle Inspection / Re-inspection
BREWSKI'S BAR & GRILL	BRONX	3718	EAST TREMONT AVENUE	10465	American	8/28/13	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	25	B	8/28/13	Cycle Inspection / Re-inspection
KFC	BROOKLYN	1615	UTICA AVE	11234	Chicken	2/17/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	2/17/15	Cycle Inspection / Initial Inspection
GUADALUPE BAR AND GRILL	MANHATTAN	597	WEST 207 STREET	10034	Mexican	10/21/14	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	9	A	10/21/14	Cycle Inspection / Re-inspection
DOMINO'S	BRONX	3706	EAST TREMONT AVENUE	10465	Pizza	5/20/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	12	A	5/20/15	Cycle Inspection / Initial Inspection
GEMINI'S LOUNGE	QUEENS	10723	LIBERTY AVENUE	11417	Caribbean	1/29/15	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	12	A	1/29/15	Cycle Inspection / Re-inspection
TROPICAL PARADISE RESTAURANT & BAKERY	BROOKLYN	1250	UTICA AVE	11203	Caribbean	3/4/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	3/4/15	Pre-permit (Operational) / Re-inspection
KELLOGG'S DINER	BROOKLYN	518	METROPOLITAN AVE	11211	American	12/10/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	12/10/13	Pre-permit (Operational) / Initial Inspection
GEISHA SUSHI	MANHATTAN	3470	BROADWAY	10031	Asian	3/31/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	13	A	3/31/16	Cycle Inspection / Initial Inspection
MARIE'S GOURMET	STATEN ISLAND	977	VICTORY BOULEVARD	10301	American	8/17/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	13	A	8/17/15	Cycle Inspection / Re-inspection
CHUCK E. CHEESE'S	QUEENS	4024	COLLEGE POINT BOULEVARD	11354	American	9/16/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	12	A	9/16/14	Cycle Inspection / Initial Inspection
CARIBBEAN & AMERICAN ENTERTAINMENT BAR  LOUNGE & RESTAURANT	BROOKLYN	1640	NOSTRAND AVENUE	11226	Caribbean	7/15/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	9	A	7/15/15	Cycle Inspection / Re-inspection
PUNTO ROJO BAKERY & RESTAURANT	QUEENS	14716	HILLSIDE AVENUE	11435	Spanish	8/5/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	8/5/13	Cycle Inspection / Re-inspection
HOMETOWN CUISINE	BROOKLYN	5017	8 AVENUE	11220	Chinese	5/23/16	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	7	A	5/23/16	Cycle Inspection / Re-inspection
NBC-GE	MANHATTAN	30	ROCKEFELLER PLAZA	10112	American	3/16/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	10	A	3/16/15	Cycle Inspection / Initial Inspection
SERENA'S CATERING HALL	STATEN ISLAND	192	EBBITTS STREET	10306	American	5/17/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	7	A	5/17/14	Cycle Inspection / Re-inspection
BOWLMOR CHELSEA PIERS	MANHATTAN	60	CHELSEA PIERS	10011	American	7/2/14	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	13	A	7/2/14	Cycle Inspection / Re-inspection
AILEY BOUTIQUE	MANHATTAN	405	WEST   55 STREET	10019	American	5/8/14	Violations were cited in the following area(s).	05D	Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.	Critical	10	A	5/8/14	Cycle Inspection / Initial Inspection
IMPERIAL BIKER BAR	BROOKLYN	652	FRANKLIN AVENUE	11238	American	3/19/15	Violations were cited in the following area(s).	09C	Food contact surface not properly maintained.	Not Critical	20	B	3/19/15	Cycle Inspection / Re-inspection
POPEYES LOUISIANA KITCHEN	BROOKLYN	1465	MYRTLE AVENUE	11237	Chicken	11/7/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	9	A	11/7/13	Cycle Inspection / Re-inspection
LUCKY'S CAFE	MANHATTAN	0	ROBERT MOSES BUILDING	10035	American	4/2/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	12	A	4/2/15	Cycle Inspection / Re-inspection
CHECKERS	QUEENS	13933	245 STREET	11422	American	11/19/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10	A	11/19/15	Cycle Inspection / Re-inspection
JUST LORRAINE'S PLACE	MANHATTAN	2247	ADAM CLAYTON POWELL BOULEVARD	10027	American	8/19/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	8/19/13	Cycle Inspection / Re-inspection
MAMAJUANA CAFE	MANHATTAN	247	DYCKMAN STREET	10034	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	7/18/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	29	C	7/18/16	Cycle Inspection / Re-inspection
ARTICHOKE BASILE'S PIZZA DINING ROOM	MANHATTAN	328	EAST   14 STREET	10003	Pizza	5/5/14	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	9	A	5/5/14	Cycle Inspection / Initial Inspection
CENTRO DE BIENESTAR DAYSI	QUEENS	8778	169 STREET	11432	Juice, Smoothies, Fruit Salads	4/1/14	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	8	A	4/1/14	Cycle Inspection / Initial Inspection
LUCKY GARDEN	BROOKLYN	305	WYCKOFF AVENUE	11237	Chinese	4/16/15	Violations were cited in the following area(s).	10D	Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.	Not Critical	10	A	4/16/15	Cycle Inspection / Initial Inspection
DRAGON CHINA RESTAURANT ON BAYRIDGE	BROOKLYN	7917	3RD AVE	11209	Chinese	10/8/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	10/8/15	Cycle Inspection / Re-inspection
VAN DAM DINER	QUEENS	4555	VAN DAM ST	11101	American	7/8/13	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	54	C	7/8/13	Cycle Inspection / Re-inspection
IL PICCOLO BUFALO	MANHATTAN	141	MULBERRY STREET	10013	Italian	11/6/13	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	15	B	11/6/13	Cycle Inspection / Re-inspection
EL GIRASOL BAKERY	BROOKLYN	3362	FULTON STREET	11208	Bakery	8/22/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	11	A	8/22/16	Cycle Inspection / Re-inspection
LOS MISMO RESTAURANT	QUEENS	10411	ROOSEVELT AVENUE	11368	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	8/22/14	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	9	A	8/22/14	Cycle Inspection / Re-inspection
MAI THAI	BROOKLYN	4618	8 AVENUE	11220	Thai	4/16/13	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	27	B	4/16/13	Cycle Inspection / Re-inspection
TONY'S PIZZERIA	BROOKLYN	7623	13 AVENUE	11228	Pizza/Italian	3/4/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	3/4/15	Cycle Inspection / Re-inspection
BAGEL WORKS	MANHATTAN	1229	FIRST AVENUE	10065	Bagels/Pretzels	6/23/14	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	17	B	6/23/14	Cycle Inspection / Re-inspection
TERIYAKI BURRITO HOUSE	BROOKLYN	96	DEKALB AVE	11201	Asian	8/25/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	10	A	8/25/15	Pre-permit (Operational) / Re-inspection
PARK'S SNACK	QUEENS	15051	NORTHERN BOULEVARD	11354	Korean	6/6/14	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	2	A	6/6/14	Cycle Inspection / Re-inspection
CAFE DU SOLEIL	MANHATTAN	245	WEST  104 STREET	10025	French	8/4/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	10	A	8/4/16	Cycle Inspection / Re-inspection
TEA FLOWER BAKERY	BROOKLYN	6623	FORT HAMILTON PARKWAY	11219	Chinese	12/18/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	10	A	12/18/15	Cycle Inspection / Initial Inspection
DUNKIN' DONUTS	BRONX	4147	THROGS NECK EXPRESSWAY	10465	Donuts	10/1/14	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	7	A	10/1/14	Cycle Inspection / Re-inspection
SING FEI RESTAURANT	BRONX	263	EAST GUNHILL ROAD	10467	Chinese	1/29/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	22	B	1/29/14	Cycle Inspection / Re-inspection
ESSEN	MANHATTAN	290	MADISON AVENUE	10017	American	2/24/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	13	A	2/24/14	Cycle Inspection / Re-inspection
POPEYES LOUISIANA KITCHEN	MANHATTAN	601	WEST  191 STREET	10040	Chicken	3/27/14	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	12	A	3/27/14	Cycle Inspection / Re-inspection
BAGEL CLUB	QUEENS	20814	CROSS ISLAND PARKWAY	11360	Delicatessen	9/25/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	9/25/13	Cycle Inspection / Re-inspection
LUCY'S CANTINA ROYALE	MANHATTAN	1	PENN PLAZA	10119	Mexican	9/11/14	Establishment re-opened by DOHMH	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	10	C	9/11/14	Cycle Inspection / Reopening Inspection
ESPRESSO 77	QUEENS	3557	77 STREET	11372	Cafe/Coffee/Tea	7/1/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	8	A	7/1/15	Cycle Inspection / Initial Inspection
MAHAL KITA	BROOKLYN	184	HAVEMEYER ST	11211	Indian	10/8/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	10/8/15	Cycle Inspection / Re-inspection
MAMAGYRO	MANHATTAN	165	E 106TH ST	10029	Greek	3/22/16	Violations were cited in the following area(s).	04J	Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.	Critical	20	B	3/22/16	Pre-permit (Operational) / Re-inspection
A SAN FUZHOU RESTAURANT	MANHATTAN	7	ELDRIDGE STREET	10002	Chinese	4/16/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	18	B	4/16/14	Cycle Inspection / Re-inspection
SHERATON TRIBECA (ANTICA/STARBUCKS)	MANHATTAN	370372	CANAL STREET	10013	American	10/7/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10	A	10/7/13	Cycle Inspection / Initial Inspection
HI NOODLE THAI	BROOKLYN	333	GRAHAM AVE	11211	Thai	3/23/16	Violations were cited in the following area(s).	09A	Canned food product observed dented and not segregated from other consumable food items.	Not Critical	4	A	3/23/16	Pre-permit (Operational) / Initial Inspection
BOTTEGA FALAI	MANHATTAN	267	LAFAYETTE STREET	10012	Cafe/Coffee/Tea	9/12/14	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	7	A	9/12/14	Cycle Inspection / Initial Inspection
BURGER KING	BROOKLYN	5212	5 AVENUE	11220	Hamburgers	6/4/13	Violations were cited in the following area(s).	10C	Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.	Not Critical	12	A	6/4/13	Cycle Inspection / Initial Inspection
EL PASO DEL VAQUERO TAQUERIA & BAR	BRONX	374	EAST  204 STREET	10467	Mexican	3/27/15	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	5	A	3/27/15	Cycle Inspection / Initial Inspection
LENNY'S BAGELS	MANHATTAN	2601	BROADWAY	10025	Bagels/Pretzels	6/15/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	23	B	6/15/16	Cycle Inspection / Re-inspection
FISH	MANHATTAN	280	BLEECKER STREET	10014	Seafood	3/3/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	3/3/15	Cycle Inspection / Re-inspection
BRIDGE COFFEE SHOP	BROOKLYN	73	BRIDGE STREET	11201	Spanish	10/23/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	20	B	10/23/13	Cycle Inspection / Re-inspection
SABOR TORIBIO RESTAURANT	BROOKLYN	446	WILSON AVENUE	11221	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	3/30/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	3/30/15	Cycle Inspection / Re-inspection
Yummy House	BRONX	2452	EASTCHESTER RD	10469	Chinese	5/2/16	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	7	A	5/2/16	Cycle Inspection / Initial Inspection
MILL BASIN BAGEL CAFE	BROOKLYN	6319	AVENUE N	11234	Bagels/Pretzels	11/28/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	11/28/14	Cycle Inspection / Initial Inspection
CHAI THAI RESTAURANT	BROOKLYN	124	NORTH    6 STREET	11249	Thai	5/20/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	5/20/15	Cycle Inspection / Re-inspection
BARCEY'S COFFEE	BROOKLYN	140	ST NICHOLAS AVENUE	11237	Cafe/Coffee/Tea	10/23/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	13	A	10/23/15	Cycle Inspection / Re-inspection
Cleopatra Queen Lounge	STATEN ISLAND	4125	HYLAN BLVD	10308	Egyptian	3/26/15	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	Critical	13	A	3/26/15	Cycle Inspection / Re-inspection
EAT & GO ISTANBUL/NEW YORK	QUEENS	0	JFK AIRPORT	11430	Sandwiches	5/21/15	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	27	B	5/21/15	Cycle Inspection / Re-inspection
BAGEL BAZAAR	BROOKLYN	2208	86 STREET	11214	Bagels/Pretzels	10/22/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	10/22/14	Cycle Inspection / Re-inspection
CLASSIC PIZZA & RESTAURANT	MANHATTAN	1747	AMSTERDAM AVENUE	10031	Pizza/Italian	1/28/16	Violations were cited in the following area(s).	02C	Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65籾綣 F or above within 2 hours.	Critical	10	A	1/28/16	Cycle Inspection / Re-inspection
IMMACULEE BAKERY	BROOKLYN	1411	NOSTRAND AVENUE	11226	Bakery	12/19/12	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	46	C	12/19/12	Cycle Inspection / Re-inspection
86 BEST BAKERY	BROOKLYN	1957	86 STREET	11214	Bakery	2/21/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	2/21/13	Cycle Inspection / Initial Inspection
CORCORAN LOUNGE	BROOKLYN	620	ATLANTIC AVENUE	11217	Bottled beverages, including water, sodas, juices, etc.	1/10/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	5	A	1/10/14	Cycle Inspection / Initial Inspection
NEW GREAT WALL CHINESE RESTAURANT	QUEENS	6913	WOODSIDE AVE	11377	Chinese	4/11/16	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10	A	4/11/16	Cycle Inspection / Re-inspection
TRIPLE SHOT WORLD ATLAS	MANHATTAN	3739	CLINTON STREET	10002	Cafe/Coffee/Tea	3/18/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	3/18/13	Cycle Inspection / Initial Inspection
PIZZA ROYALE	BROOKLYN	6718	FORT HAMILTON PARKWAY	11219	Italian	1/8/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	11	A	1/8/14	Cycle Inspection / Re-inspection
MASSO	QUEENS	4725	VERNON BOULEVARD	11101	Italian	6/24/13	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	25	B	6/24/13	Cycle Inspection / Re-inspection
MEAT VEGGIES & PASTA RESTAURANT	QUEENS	11816	ROCKAWAY BOULEVARD	11420	Caribbean	11/10/14	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	12	A	11/10/14	Cycle Inspection / Re-inspection
MCBEANS RESTAURANT	BROOKLYN	2910	GLENWOOD ROAD	11210	Caribbean	2/10/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	9	A	2/10/15	Cycle Inspection / Initial Inspection
PIZZA HEAVEN	BROOKLYN	3009	AVENUE N	11210	Pizza	11/24/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	11/24/14	Cycle Inspection / Initial Inspection
GREEN GENERATION NYC INC	MANHATTAN	2490	BROADWAY	10025	Juice, Smoothies, Fruit Salads	11/14/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	4	A	11/14/13	Pre-permit (Operational) / Initial Inspection
DISHES	MANHATTAN	6	EAST   45 STREET	10017	American	9/9/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	5	A	9/9/13	Cycle Inspection / Re-inspection
NEW HEIGHTS BAR AND RESTAURANT	BROOKLYN	137	SCHENECTADY AVENUE	11213	American	6/27/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	13	A	6/27/14	Cycle Inspection / Re-inspection
BAGEL WORLD	BROOKLYN	339	5 AVENUE	11215	Bagels/Pretzels	8/5/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	13	A	8/5/15	Cycle Inspection / Initial Inspection
DUNKIN' DONUTS	STATEN ISLAND	2425	HYLAN BOULEVARD	10306	Donuts	5/29/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	19	B	5/29/13	Cycle Inspection / Re-inspection
MIDDLE BRANCH	MANHATTAN	154	EAST   33 STREET	10016	American	5/29/14	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	11	A	5/29/14	Cycle Inspection / Initial Inspection
KRISPY KRUNCHY CHICKEN	QUEENS	17933	HILLSIDE AVE	11432	American	9/26/15	Violations were cited in the following area(s).	10E	Accurate thermometer not provided in refrigerated or hot holding equipment.	Not Critical	9	A	9/26/15	Pre-permit (Operational) / Initial Inspection
CAFE 45	MANHATTAN	2	WEST   45 STREET	10036	American	4/11/14	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	19	B	4/11/14	Cycle Inspection / Re-inspection
BROTHERS PIZZERIA	QUEENS	18504	HORACE HARDING EXPRESSWAY	11365	Pizza/Italian	10/14/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	13	A	10/14/14	Cycle Inspection / Initial Inspection
TASTE DELI AND GRILL	QUEENS	10702	101 AVENUE	11416	Delicatessen	12/16/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	12/16/13	Cycle Inspection / Re-inspection
DENNY'S PUB	BROOKLYN	106	BEVERLY ROAD	11218	American	11/19/14	Violations were cited in the following area(s).	02A	Food not cooked to required minimum temperature.	Critical	12	A	11/19/14	Cycle Inspection / Initial Inspection
ZABB ELEE	MANHATTAN	75	2 AVENUE	10003	Thai	12/28/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	43	C	12/28/15	Cycle Inspection / Re-inspection
